index,h,q
75740,NA,10
75744,NA,9
75749,NA,10
75751,NA,10
75752,NA,10
75755,NA,6
75758,NA,10
75761,NA,10
75772,NA,10
75776,NA,10
75780,NA,10
75782,NA,6
75783,NA,7
76007,NA,10
76008,NA,10
76075,NA,10
76076,NA,10
76089,NA,10
76099,NA,10
76105,NA,5
76112,NA,10
76130,NA,10
76133,NA,5
76136,NA,6
76139,NA,10
76141,NA,10
76145,NA,10
76147,NA,10
76159,NA,10
76165,NA,10
76176,NA,10
76180,NA,10
76190,NA,10
76200,NA,10
76217,NA,10
76243,NA,10
76253,NA,10
76255,NA,10
76256,NA,10
76263,NA,10
76264,NA,10
76270,NA,10
76275,NA,10
76284,NA,10
76289,NA,10
76295,NA,10
76317,NA,10
76318,NA,10
76320,NA,10
76321,NA,10
76324,NA,10
76325,NA,10
76345,NA,10
76351,NA,10
76355,NA,10
76360,NA,10
76363,NA,10
76364,NA,10
76367,NA,10
76406,NA,10
76408,NA,10
76416,NA,10
76417,NA,10
76421,NA,10
76423,NA,10
76454,NA,10
76456,NA,10
76461,NA,10
76462,NA,10
76466,NA,10
76470,NA,10
76482,NA,5
76483,NA,10
76486,NA,10
76489,NA,10
76490,NA,10
76491,NA,10
76492,NA,10
76494,NA,10
76495,NA,10
76499,NA,10
76500,NA,10
76504,NA,8
76512,NA,10
76518,NA,10
76519,NA,10
76520,NA,10
76526,NA,2
76533,NA,10
76550,NA,8
76553,NA,8
76556,NA,8
76557,NA,8
76566,NA,8
76574,NA,8
76584,NA,4
76594,NA,8
76596,NA,8
76597,NA,8
76601,NA,8
76602,NA,8
76603,NA,8
76611,NA,8
76614,NA,8
76619,NA,8
76620,NA,8
76622,NA,4
76627,NA,8
76628,NA,8
76634,NA,8
76637,NA,4
76638,NA,8
76640,NA,8
76642,NA,8
76644,NA,10
76646,NA,10
76648,NA,10
76649,NA,10
76650,NA,10
76651,NA,10
76652,NA,10
76653,NA,10
76654,NA,10
76655,NA,8
76656,NA,8
76661,NA,10
76663,NA,10
76664,NA,9
76665,NA,8
76669,NA,10
76671,NA,4
76673,NA,10
76674,NA,8
76675,NA,8
76676,NA,8
76685,NA,10
76688,NA,10
76690,NA,10
76692,NA,10
76695,NA,8
76696,NA,8
76697,NA,8
76700,NA,8
76701,NA,10
76702,NA,10
76704,NA,10
76705,NA,9
76706,NA,8
77112,NA,10
77115,NA,10
77116,NA,10
77124,NA,10
