"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
83323;2409;1;"ФГБУ Северо-Кавказское УГМС";"АЗИАТСКИЙ МОСТ - р. Большая Лаба";43.95;40.97;11800
83333;2440;1;"ФГБУ Северо-Кавказское УГМС";"ВОЗНЕСЕНСКАЯ - р. Чамлык";44.55;41.03;554
83338;2450;1;"ФГБУ Северо-Кавказское УГМС";"ДОНДУКОВСКАЯ - р. Фарс";44.9;40.35;1240
83340;2445;1;"ФГБУ Северо-Кавказское УГМС";"ГУЗЕРИПЛЬ - р. Белая";44;40.13;125
83348;2460;1;"ФГБУ Северо-Кавказское УГМС";"КАМЕННОМОСТСКИЙ - р. Белая";44.28333333;40.18333333;1850
83372;2490;1;"ФГБУ Северо-Кавказское УГМС";"НИЖЕГОРОДСКАЯ - р. Курджипс";44.27;39.92;263
83374;2475;1;"ФГБУ Северо-Кавказское УГМС";"КРАСНООКТЯБРЬСКИЙ - р. Лучка";44.56666667;40.06666667;59
83378;2415;1;"ФГБУ Северо-Кавказское УГМС";"АПШЕРОНСК - р. Пшеха";44.46666667;39.73333333;1480
83385;2531;1;"ФГБУ Северо-Кавказское УГМС";"ХАДЫЖЕНСК - р. Пшиш";44.41666667;39.53333333;710
83386;28980;1;"ФГБУ Северо-Кавказское УГМС";"БЖЕДУХОВСКАЯ - Р.ПШИШ";44.83542161;39.68742371;1480
83409;2515;1;"ФГБУ Северо-Кавказское УГМС";"СМОЛЕНСКАЯ - р. Афипс";44.8;38.8;298
83411;2536;1;"ФГБУ Северо-Кавказское УГМС";"ШАБАНОВСКОЕ - р. Шебш";44.57;38.8;110
83415;2509;1;"ФГБУ Северо-Кавказское УГМС";"СЕВЕРСКАЯ - р. Убинка";44.85;38.67;201
83437;2537;1;"ФГБУ Северо-Кавказское УГМС";"ШАПСУГСКАЯ - р. Адегой";44.75;38.1;125
83441;2560;1;"ФГБУ Северо-Кавказское УГМС";"КРЫМСК - р. Адагум";44.93333333;37.98333333;328
